,0
0,"[154.0, 144.0, 124.0, -105.0, 109.0, -154.0, -158.0, -86.0, -123.0, -175.0, 117.0, 143.0, 58.0, 117.0, -139.0, -112.0, 32.0, -69.0, -43.0, -144.0, -120.0, 74.0, -123.0, 151.0, 126.0, 57.0, -18.0, -56.0, -96.0, 104.0, 92.0]"
1,"[154.0, 144.0, 124.0, -105.0, 109.0, -154.0, -158.0, -86.0, -123.0, -175.0, 117.0, 143.0, 58.0, 117.0, -139.0, -112.0, 32.0, -69.0, -43.0, -144.0, -120.0, 74.0, -123.0, 151.0, 126.0, 57.0, -18.0, -56.0, -96.0, 104.0, 92.0]"
2,"[138.1746942424359, 159.75728060167225, 139.74388735293974, -120.73882042007115, 93.13145010860823, -169.82487396250946, -142.1689646067269, -101.80372104498854, -138.76502153440063, -190.8661200125221, 132.80008688421415, 158.8479312311821, 42.215191363803825, 132.8028152613274, -123.10981215904445, -127.881400516704, 16.10713282708854, -53.25206642978169, -58.74189782471106, -159.79771768263365, -104.20976498681667, 89.87413473136749, -138.78530366253943, 166.8595194798131, 141.81221149883538, 41.10132004397004, -33.78108972476136, -71.71280027647192, -80.12294254327261, 88.05842925566661, 107.84670166704072]"
3,"[126.92606442614581, 170.41772449106813, 150.84691390714084, -131.6911419647695, 82.33496782442994, -180.96846517417427, -131.49572264897282, -112.60990143532945, -149.76217534566015, -201.19916588063683, 144.10068006216562, 169.8155492178492, 31.464332380264892, 144.18716613605486, -112.44569002200248, -138.4017831766107, 7.215889550866709, -42.978299883105464, -69.65000652065578, -170.0670572139418, -93.53507056534775, 100.65446996916185, -149.73981040808368, 174.37090448021385, 142.13516444784852, 39.13573755168672, -44.627748164251436, -82.96274594359555, -69.1849656140563, 76.67099324940955, 119.05852891704617]"
4,"[119.31832544329109, 177.44275309345974, 158.24635889270604, -138.5555544972516, 74.99821450441524, -188.56344497510554, -124.1625712872362, -119.76846523472702, -157.0261539010612, -208.14845991124224, 151.95420884698277, 177.07639344728685, 24.448774313898305, 151.9365668435844, -105.53953022119214, -144.92315551216143, 0.4080351976506229, -36.820168299650305, -76.68953686557157, -175.41319346185924, -86.59495403269719, 107.99626576684396, -157.0607809598354, 180.60477195922437, 143.85230550172022, 35.230944631750575, -51.36846278389341, -89.27279729115308, -61.736350663215326, 68.00838006105533, 126.8639752323464]"
5,"[113.23767224034061, 182.20358991545618, 163.10062862205405, -144.3043768589585, 69.89226593905765, -194.0910180853961, -119.51413957415619, -125.15101530555674, -162.5263755815726, -212.8818962291944, 157.224256227426, 182.12428896709844, 19.104599083331117, 157.19883455589263, -100.87448018666817, -150.1086705143834, -4.864205449790141, -33.00979003783764, -81.25509683040899, -180.265413899928, -81.56600538345526, 113.21615414106857, -162.41220033380984, 186.05164141817397, 147.56736884336502, 34.26643643333375, -55.56746649096313, -91.98771123173259, -56.72220088948048, 63.953930941120724, 131.82754388954447]"
6,"[109.09443355724153, 186.34420638770675, 167.28371497159088, -148.21924008580092, 65.54817844907416, -198.57044130855806, -115.26375234241448, -129.47293348669766, -167.01343731834748, -216.2516654614732, 161.32990205112563, 186.25826333834726, 15.19431447616207, 161.61424341631053, -96.61829207402391, -154.19743059597715, -9.648004999666199, -29.372000427441783, -85.07559305571282, -185.3410752254817, -77.67201109437755, 117.15197984695361, -166.99112174962175, 191.19792892666766, 149.30959815424342, 31.725689963824816, -59.5480907507547, -95.00199409660999, -52.02419711512155, 59.663214570307254, 136.65515165032448]"
7,"[106.10241998036742, 189.41166447425655, 170.64971560180902, -151.10055026384515, 62.09511142256625, -202.06561603099192, -112.17908799228682, -132.5276312524564, -170.1328118756102, -219.6457372488401, 164.80811227579633, 189.78692901089934, 12.029460750593323, 164.7425410772162, -93.59248675906909, -156.96078250807403, -13.48113950094465, -25.626389602792692, -87.76296430194392, -189.5760265124734, -74.51572801414042, 120.78546463681593, -170.56664132937817, 195.7655856989746, 148.62222247291658, 30.225890524039478, -62.5253601652657, -98.59151286070502, -49.1481221927315, 56.58798008123898, 139.7956769967356]"
8,"[103.87947355715305, 191.63091027283832, 173.39322586147742, -154.0870985153347, 59.23604184766566, -204.3534246076564, -109.61935434437513, -135.1080557527524, -173.4792495194719, -222.07288367923596, 166.79051423299282, 192.07680596565876, 9.80712438648402, 166.85054389203574, -90.89639263107154, -159.71025284391393, -15.534282022748442, -21.866433601313133, -90.2454331491232, -190.73794080518678, -71.82896513570435, 123.12258677964961, -173.01622640721254, 199.21146961992036, 149.57446529997802, 30.69045184696926, -64.8327699541914, -102.03063636369798, -46.01166247954668, 54.53616653394651, 142.26505969285765]"
9,"[101.98085814948561, 194.03918905641552, 175.8737936201773, -155.9326772580956, 57.0921592256602, -206.8365557408511, -107.40318030838186, -137.31633294303634, -175.47667412124622, -224.75911796847942, 168.53643858287404, 194.70656465794391, 7.578872926553004, 168.79565516386046, -88.35177922539953, -161.97125363378552, -17.289636094237004, -18.90416646248353, -92.41546966522569, -192.68565810886804, -69.5560403766153, 125.1699378083143, -175.17999117062377, 201.52231132975484, 149.30135188959196, 30.365744480873392, -67.23980925258351, -106.23663882573334, -44.33185939784023, 51.9838019229201, 143.918473796441]"
